,year,make,model,VClass,cylinders,displ,2D PassVol,2D LuggVol,4D PassVol,4D LuggVol,HatchPassVol,HatchLuggVol,drive,CombCityHwy MPG,CombCHW_Cost100miles,AggCombMPG,AggCombCHW_Cost100miles,HW mpg@55,HW@55_Cost100miles,HW mpg@65,HW@65_Cost100miles,HW mpg@75,HW@75_Cost100miles,HW mpg@85,HW@85_Cost100miles,HW mpg@95,HW mpg@105
38567,2023,Land Rover,Defender 90,Standard Sport Utility Vehicle 4WD,4.0,2.0,0,0,0,0,0,0,4-Wheel Drive,19,21.05,15,26.67,21,19.05,18,22.22,16,25.0,14,28.57,12,10
38571,2023,Kia,Sportage FWD,Small Sport Utility Vehicle 2WD,4.0,2.5,0,0,0,0,0,0,Front-Wheel Drive,28,14.29,22,18.18,32,12.5,28,14.29,24,16.67,21,19.05,18,15
38572,2023,Kia,Sportage AWD,Small Sport Utility Vehicle 4WD,4.0,2.5,0,0,0,0,0,0,All-Wheel Drive,25,16.0,20,20.0,28,14.29,25,16.0,22,18.18,19,21.05,16,13
38573,2023,Land Rover,Discovery,Standard Sport Utility Vehicle 4WD,4.0,2.0,0,0,0,0,0,0,4-Wheel Drive,21,19.05,16,25.0,22,18.18,19,21.05,16,25.0,14,28.57,12,10
38574,2023,Land Rover,Discovery MHEV,Standard Sport Utility Vehicle 4WD,6.0,3.0,0,0,0,0,0,0,4-Wheel Drive,22,18.18,17,23.53,25,16.0,22,18.18,19,21.05,16,25.0,13,11
38575,2023,Land Rover,Defender 110,Standard Sport Utility Vehicle 4WD,4.0,2.0,0,0,0,0,0,0,4-Wheel Drive,18,22.22,14,28.57,20,20.0,18,22.22,16,25.0,14,28.57,12,10
38576,2023,Land Rover,Defender 110 MHEV,Standard Sport Utility Vehicle 4WD,6.0,3.0,0,0,0,0,0,0,4-Wheel Drive,20,20.0,16,25.0,23,17.39,20,20.0,17,23.53,14,28.57,12,10
38577,2023,Land Rover,Defender 90 MHEV,Standard Sport Utility Vehicle 4WD,6.0,3.0,0,0,0,0,0,0,4-Wheel Drive,20,20.0,16,25.0,23,17.39,20,20.0,17,23.53,14,28.57,12,10
38578,2023,Land Rover,Defender 90,Standard Sport Utility Vehicle 4WD,8.0,5.0,0,0,0,0,0,0,4-Wheel Drive,16,25.0,12,33.33,19,21.05,17,23.53,15,26.67,13,30.77,11,9
38579,2023,Land Rover,Defender 110,Standard Sport Utility Vehicle 4WD,8.0,5.0,0,0,0,0,0,0,4-Wheel Drive,16,25.0,12,33.33,19,21.05,17,23.53,15,26.67,13,30.77,11,9
